Property ID,Location,Price (CHF),Size (m²),Bedrooms,Bathrooms,Property Type,Description
PR0001,Lausanne,2030000,203,4,3,Apartment,Beautiful Apartment located in Lausanne with 2 bathrooms and 6 bedrooms.
PR0002,Zurich,3627000,279,2,2,Penthouse,Beautiful Penthouse located in Zurich with 1 bathrooms and 5 bedrooms.
PR0003,Zurich,1482000,114,5,2,House,Beautiful Villa located in Zurich with 3 bathrooms and 4 bedrooms.
PR0004,Biel,1036000,148,4,4,House,Beautiful Villa located in Biel with 2 bathrooms and 2 bedrooms.
PR0005,Bern,1575000,175,4,1,Penthouse,Beautiful House located in Bern with 3 bathrooms and 4 bedrooms.
PR0006,Zurich,2236000,172,5,2,Apartment,Beautiful Penthouse located in Zurich with 2 bathrooms and 5 bedrooms.
PR0007,La Chaux-de-Fonds,1185000,158,2,3,Apartment,Beautiful Villa located in La Chaux-de-Fonds with 4 bathrooms and 2 bedrooms.
PR0008,Basel,1862000,196,2,2,Villa,Beautiful Penthouse located in Basel with 3 bathrooms and 1 bedrooms.
PR0009,Lausanne,820000,82,5,3,Villa,Beautiful Villa located in Lausanne with 1 bathrooms and 3 bedrooms.
PR0010,Bern,270000,30,6,2,Villa,Beautiful Villa located in Bern with 2 bathrooms and 3 bedrooms.
PR0011,Lugano,1100000,100,1,3,House,Beautiful House located in Lugano with 3 bathrooms and 4 bedrooms.
PR0012,Geneva,2724000,227,5,4,Villa,Beautiful Apartment located in Geneva with 2 bathrooms and 4 bedrooms.
PR0013,La Chaux-de-Fonds,735000,98,2,3,Villa,Beautiful Apartment located in La Chaux-de-Fonds with 2 bathrooms and 4 bedrooms.
PR0014,Lugano,1507000,137,1,2,Penthouse,Beautiful Villa located in Lugano with 4 bathrooms and 1 bedrooms.
PR0015,Bern,747000,83,2,3,Villa,Beautiful House located in Bern with 4 bathrooms and 5 bedrooms.
PR0016,Lausanne,970000,97,5,3,Villa,Beautiful Villa located in Lausanne with 2 bathrooms and 6 bedrooms.
PR0017,Geneva,2316000,193,5,2,Penthouse,Beautiful Villa located in Geneva with 2 bathrooms and 5 bedrooms.
PR0018,Geneva,2076000,173,1,2,House,Beautiful Penthouse located in Geneva with 4 bathrooms and 4 bedrooms.
PR0019,Geneva,1392000,116,1,2,Apartment,Beautiful Apartment located in Geneva with 1 bathrooms and 4 bedrooms.
PR0020,Lugano,2189000,199,2,1,Villa,Beautiful House located in Lugano with 1 bathrooms and 5 bedrooms.
PR0021,Basel,579500,61,5,3,Penthouse,Beautiful Apartment located in Basel with 2 bathrooms and 4 bedrooms.
PR0022,Bern,1755000,195,5,2,Penthouse,Beautiful House located in Bern with 4 bathrooms and 4 bedrooms.
PR0023,Biel,413000,59,2,2,House,Beautiful Apartment located in Biel with 4 bathrooms and 3 bedrooms.
PR0024,Lugano,2739000,249,3,2,Penthouse,Beautiful Apartment located in Lugano with 4 bathrooms and 5 bedrooms.
PR0025,Bern,378000,42,6,1,House,Beautiful Villa located in Bern with 1 bathrooms and 1 bedrooms.
PR0026,Geneva,1224000,102,6,1,Apartment,Beautiful House located in Geneva with 1 bathrooms and 1 bedrooms.
PR0027,La Chaux-de-Fonds,1087500,145,3,3,Apartment,Beautiful House located in La Chaux-de-Fonds with 1 bathrooms and 5 bedrooms.
PR0028,Geneva,720000,60,4,1,Villa,Beautiful Penthouse located in Geneva with 1 bathrooms and 2 bedrooms.
